hand,S,H,D,C,HCP,opening
5H KS JC 7D 8H AH TS 9H 2C 7H 4S 8C 9D,3,5,2,3,8,PASS
KS AD 9S 5H 2H 3H 5C 5S 7H 4D AC 9D 8S,4,4,3,2,11,PASS
2H 9D 8H 8D JS 4C 8S 8C KD 9S AC 7S 5C,4,2,3,4,8,PASS
8S 5H TH TC 7D 8H AD KS 6S QC 4C KC 6H,3,4,2,4,12,1C
QS 8H 4D 5C 5S AH 7S KD 8D QC 3C 5D 3S,4,2,4,3,11,PASS
JS 7S 4D 7C 2H 2C 2S 3D 8S 8H AS KD 4C,5,2,3,3,8,PASS
2S 7C QD JD 8C 2D 9D 5S AH 7H 5C 4H QS,3,3,4,3,9,PASS
5H AD 2H 6D 9D JC 7C 8D AH 4D 9H 7S 9C,1,4,5,3,9,PASS
4H 5H QH QC AC 7C 6S TC 2S 7S 5D 7H 2D,3,4,2,4,8,PASS
2D 7C 9S QS TC AS 4S AD 3H 4C TH QC 8H,4,3,2,4,12,1C
QH 9C 7D TC AC 4C KH 2S JD QC 9S 6C KD,2,2,3,6,15,1C
JC 6C 2C 6H JS 2H 4S 9H TS 6S KC 9C AC,4,3,0,6,9,PASS
9D JC TC 9C 7H 4D 6S TH AD 5S KD 7D 8C,2,2,5,4,8,PASS
QD 9S 3D 4S 6H 5D JH KD TS 8H 3C JD 3H,3,4,5,1,7,PASS
7H 5D 4S JC 2H 6D 5H 9H JD TS JS QS 8H,4,5,3,1,5,PASS
JD 5S 6S 3S 9S 9D 8S AS 7H 3D 8C 3H 8H,6,3,3,1,5,PASS
9S KH 7S 3C 8C 5H 8D 2H 5D KC AS 7C QD,3,3,3,4,12,1C
4S TH 8D JS 7D KH 3H 8S 2D AH 3D 6H 3S,4,5,4,0,8,2C
KC AS 4D 5H TD 6H AH 7H QC 5C 8D 6S TS,3,4,3,3,13,1C
6H KC JH 8C 4C 5D 8H QH 9H TH 9C AH 6S,1,7,1,4,10,1H
AH 2S TH 8C 5D 3D 7S JC 8S 6D 3S AS JS,6,2,3,2,10,2D
7H 4C KH 2D 9C 5H 8C JH 2C AC TS 8S 3D,2,4,2,5,8,PASS
4H 5C 4D 3D 2D QS TS 7D KS 9C KD TH 6C,3,2,5,3,8,PASS
TH JH QC TS 6D 8S 2S 7S 8D 9C 9S KH 3H,5,4,2,2,6,2C
6D 7D AD 3S 6S 6H TS 3D TC JS TH 5H TD,4,3,5,1,5,PASS
4D 4H TC 9C 4S 9D KD KC 7H TH JC 4C QD,1,3,4,5,9,PASS
9C JD 8D 9S 8S 7H AS 2C 2H TC KD 8C KS,4,2,3,4,11,PASS
8S 3S 9S 8D 5D KH 9C TD JS 9D 4S AH 2C,5,2,4,2,8,PASS
9C 3D 4S JD JS 7H 7D 8H 8C 4H TC 9H 5C,2,4,3,4,2,PASS
6C 9H TC KH 2C 8D QH JD 5C 9C 3D 3H 4D,0,4,4,5,6,PASS
4S QC 5D TS KS 5C 3H AS JC AH 4C QS KH,5,3,1,4,19,1C
KD 7C 4D JS 3H AS 9C TD QH 5C AH 4C AC,2,3,3,5,18,1C
KD KS 7S 9H 8H JD 6S 4C 4H KH QD 5D TC,3,4,4,2,12,1D
3S JS 2H JD 3C AD 6C 9D 8C 7S 7D QS 8S,5,1,4,3,8,PASS
9S 8H KC 8C 2C QS 5C TD 5S QD 5H KS 3S,5,2,2,4,10,PASS
8S AS 3S 7S 2H 5C TD TC QS 7D 3H 6C 4S,6,2,2,3,6,2D
TD 6S 3S 8D AS KS JS QH 3H 5C JH TC KD,5,3,3,2,14,1S
8S 2S 7C 9D 7D 5S QD AC 2C 3C 6H TD 4D,3,1,5,4,6,PASS
JC 3H 9D QH TD 2H TS 3C QS 6H 4H 7D 9S,3,5,3,2,5,PASS
8H KC 5H 7S 5S 9D KH TC KS 6D 8S QD KD,4,3,4,2,14,1D
4D JC 3D TD 5D 7H 7C 2D 2C JD KH 7S 9C,1,2,6,4,5,PASS
JS 9H 8H AS 5C 4S TD AC 4D 6C QC 3D 6S,4,2,3,4,11,PASS
8H 5H 7S AS KC KH 6S TD QS QH 3C 2H JC,4,5,1,3,15,1H
JC QH 8D QS 7H KH 3D TC AD 5C 6H 4S 8C,2,4,3,4,12,1C
KS JC 8H KH TS 7S 3H AC 8S AH 5H JS 5S,6,5,0,2,16,1S
2H 8C 3H QH TH KD TC 5S 6S KC TS 3S 5H,4,5,1,3,8,2C
5S 8C 8H 6S 2S QS TS 2D 4D JD 6C QD 7H,5,2,4,2,5,PASS
TD JH QS 4D 7C 8S 5S KC 8C 6D 5D 8D TS,4,1,5,3,6,PASS
QH JH 7H 4D 6S 2S 4H AD KH 5S 5D JC 6C,3,5,3,2,11,PASS
2D 8D 9C 6H 2H 5H 2S 4S 9H AC 5S 9S JS,5,4,2,2,5,PASS
6S 5D 4D 7D 3C AS 2C AC 6D 3S 7C 3H KS,4,1,4,4,11,PASS
8H 5S 6C QD 9D 2S TH AC 5D 9H 3D 4D 8D,2,3,6,2,6,PASS
KH 5S 9C 9H 8S 8H 8D 3C 2S 2H QD KC 7H,3,5,2,3,8,PASS
9S AC QH 6C 8S 5C 9C QC QD AH JH 7S QS,4,3,1,5,17,1C
5C TH 7S TC 5H KC 6S 9H 6H QH 9C 2H 9S,3,6,0,4,5,PASS
QC 7S 3H 4C 2H 4S KC 4D JS 9C 3D QH TS,4,3,2,4,8,PASS
KS QH TC KH JD 9D 2D 4H 8C 5D 3H 6S 4S,3,4,4,2,9,PASS
9S JS KD 2D 5C 7H 5S JH QD KC 6D 6H QH,3,4,4,2,12,1D
AH 7C 6C 5D 7S TH AS QS 6S 2C 6D 8D JH,4,3,3,3,11,PASS
3S 6S AC 3C 2D 7S KH TC KC JD AH 8S 4C,4,2,2,5,15,1C
4C AS 6S 5D 2H 8C 9C QS QC AC JS 5C 2S,5,1,1,6,13,1S
7C 2S TS JH 8D QH 5D 4D QS 6C TD AS 9H,4,3,4,2,9,PASS
7H AD 9H QS 2S JS AC 4S 5C JD 8S KH 9S,6,3,2,2,15,1S
JD 4D 8D AC 2H 8S 8H 7S AH 4H 2D 9D JH,2,5,5,1,10,1H
QD 9H 8S 5D 5S 6C 3S 4D 3D 9D JH QH KH,3,4,5,1,8,PASS
5H 3D 9S TS 8C 4C 3C 2H 2S QH QD 4H AH,3,5,2,3,8,PASS
AH 8C 7H 5H 4S AS 4C JS 9D JH 5C 6H JD,3,5,2,3,11,PASS
JD TC 2H 5S 9C 8C AS AC 9S JS 4C 5H 8H,4,3,1,5,10,PASS
KH 9D 8S 6S 7C 2D KC AS 7S 6D JH 9C 7H,4,3,3,3,11,PASS
KD AC 6C JD QS TD 8D 2D 3D JH 7H KC 5D,1,2,7,3,14,1D
AD AC 6C QC TC 5C 8C KS 7C 5S 4S 7D 9H,3,1,2,7,13,1C
5D 3C 8D 3S 6D KS 2D KC 9C KD 4S 4C 5C,3,0,5,5,9,PASS
8H AD 6H AC KD 7S QC 7D JH 3C QS 6D 9H,2,4,4,3,16,1NT
5C 4S QC 6D 4H 9D 4C 9H QS 7S 2D AS 3D,4,2,4,3,8,PASS
QC 5D 3C 9S TS 4D TC 8D JC 9C 7H 5S KD,3,1,4,5,6,PASS
2S 6D 7D KC 6S AS 3D KS 7H 4S 8D 5S 2D,6,1,5,1,10,1S
6C 7S 2H 5D AC 9D AS 8C 9S 2C 8S KS 5C,5,1,2,5,11,1S
4S JS 8D 7H 2H 2C QH 8C JC 4C QS 5H AC,3,4,1,5,10,PASS
TC QD 6D KH 8C QS 6H 5H JC AH 4H QC 3H,1,6,2,4,14,1H
6S 7D 5C TS 6D AS 5H 8S JC 9D 7S 6C KD,5,1,4,3,8,PASS
QH 2D 8H 6S 3S 3D 8C 2S KH 6C QD JS QS,5,3,3,2,10,PASS
TS QD 6S 2H 8D 7D 5S 3C KD JD 5D 4C 5C,3,1,6,3,6,PASS
TH 6C KD 8S TS 4H AH KH 4C 2D QS 3C 9H,3,5,2,3,12,1H
8H 2C 6C 2S 3S TS QS 5D KH 5C 9D QC 9C,4,2,2,5,7,PASS
8H 7C KS 6S 2H 9D 7S JD 7H QS 2D 6C 9S,5,3,3,2,6,PASS
QS 4S AC 7H 6D 5C 8C JD 4D QH 6H 9H 2S,3,4,3,3,9,PASS
9H JH 6H 2H KH 5S 7C AC 9S QD JC 6C 7H,2,6,1,4,11,1H
AC AS 9H QH 3H KH 2D 2S 5D 3C AD 8S QC,3,4,3,3,19,1C
4C 2S JD 6H 5S 6C 5C 6D QH 7S TC 5H KS,4,3,2,4,6,PASS
8D AH 5D 5C 7S 3C JC 7D QC 4D TC AC 7H,1,2,4,6,11,1D
8H 9D 4C 4H KD 7D JS 7H JH AS TH 2D AH,2,6,4,1,13,1H
9H JH QD 8H 7D QC 3S QS 5D 5S JD 2C KD,3,3,5,2,11,PASS
7H 8S 9H JH 4D 4H 5S 5D 2C JS TS 9S 7C,5,4,2,2,2,PASS
JD KH 3H QS QC 6S KD TH KC QH TD 9H 7S,3,5,3,2,16,1H
4D 9S 9D AD 6H KC KH AS 6D 7S 8C 3S JC,4,2,4,3,15,1NT
3H 5H KD 4S KS 3D AS 8H 9D QS AC 4H 7C,4,4,3,2,16,1NT
5C 5H 2S 7C TC 9H 6D 4H TD KS 8H 9C JS,3,4,2,4,4,PASS
6H 3C TC 3H KH 7D 5S 2S AS KC 4H 8D 5D,3,4,3,3,10,PASS
JD 2C AS KH 9C 4D KD 6C JH QS JC 5S AH,3,3,3,4,19,1C
2C 3H 5S TC JS 5D QS 4D TD 5C 6H 7C 8C,3,2,3,5,3,PASS
9D 8H 7C TD TC 6D QD 3S 6C 4D 7D AC JS,2,1,6,4,7,PASS
QD KC TH 9D JD 4D AH 2H QC 6S 2S 3C JH,2,4,4,3,13,1D
5S KD 8H 5H 9C 5D 7S 6S 2D 7H 6H 6C 5C,3,4,3,3,3,PASS
9D 8S 4H KH 2H 3C AD KS JH 4S QD 8D 9C,3,4,4,2,13,1D
TS 4D 9D 5D 9H 5H 3H QD 6S TH KD 2S 8S,4,4,5,0,5,PASS
2H JH 4H 9H 7H 6H AC 2S AD 3S 8S TS 5C,4,6,1,2,9,2C
5S 9D 2D 3H AH QS 5C QC TC JS 8D TS 7D,4,2,4,3,9,PASS
8S 4D 7D TD TC 3D 9C 7S 2S 3C 3H AD 6C,3,1,5,4,4,PASS
5S 5C AS TH KS JH 3D 6H TS KC 8C 2D 2H,4,4,2,3,11,PASS
2D 6H 2C 9D 2H 8D KS 9C 3H TS 8S 4D AS,4,3,4,2,7,PASS
AS AD KH 5H 4D JC 2C 7S 2H 9D 3C 6C 5C,2,3,3,5,12,1C
3C KS KH 9H 2S 9D TC KD 7D 3D 3S 6S TD,4,2,5,2,9,PASS
TD 9D 6H 2S 8S JS QD 5S 4D 9C TS 2H 3S,6,2,4,1,3,PASS
2H 9H QS QH 3C 2C 3S AC QC 4D JD 8H KC,2,4,2,5,14,1C
5D 8C 5C AC 5H 9D 7C 7S 6C 9C 3C KD QC,1,1,3,8,9,1C
8D 4D KH 6S 2D 4H AS 3D 8C AH KS AC QC,3,3,4,3,20,1C
5S 9D KS AH 6D 7D 7H 7S 2C 9H 5C TD TH,3,4,4,2,7,PASS
5H 2D 3S 4H TH 7C 9C 8H AH 2H 6S 6D KD,2,6,3,2,7,2D
3H 8C 4H 6D KD QH KS AH 9C JH 9D AS 2H,2,6,3,2,17,1H
TH 3S 4C 2H 5D KC 3H AH QC 6H 4H QH AS,2,7,1,3,15,1H
5C 5H 7D 8H 2C 3H 4S 8C QH 5D 7H 8D 9S,2,5,3,3,2,PASS
KD KS QD JH 2S 7S 3C TD 6D 5C TS 5H 4D,4,2,5,2,9,PASS
9C 3H 3S 6C AC 6S JH 7D 7C 5D 8C 2H 9H,2,4,2,5,5,PASS
5S AC 2D JS TS 9S 5H 4S 8C 6D 6H 3H 6S,6,3,2,2,5,PASS
3C 6S 7D TD 2S 3S JD 8C JS 9H 2D AH TC,4,2,4,3,6,PASS
9H 7H JD 8C 8S 8H AC JC KH 6H 9S TH KD,2,6,2,3,12,1H
QD 3C 7S 4S 8H QH TS JS 8D 6S 3D 2S 2C,6,2,3,2,5,PASS
6D 3D JD QH 7S 8H KC 7D 6H 5H 9H 4H TS,2,6,4,1,6,2D
3C 9D JS 2S 5D 8C 4H KS 7D 2D 3S QH TH,4,3,4,2,6,PASS
5H 3D 8H AC QC QD KS 6D TD 2S 5S 2C 2D,3,2,5,3,11,PASS
6S AS 6C 9H JH KH TS 8C TH AH JD QH 7D,3,6,2,2,15,1H
QS TH 5S 9S 3C 4S 2S 3S AS 5D JC 8C TS,8,1,1,3,7,PASS
JS 6S 3H 8S 3C KD QH KC 9C TS 5H 5D QS,5,3,2,3,11,PASS
6C TS 5C AS 9H 3D 9D 2H KS 4H 2D 7C 5H,3,4,3,3,7,PASS
KH JH 9S 2D QD 6C KC 3D 8H 4S 5C AC JS,3,3,3,4,14,1C
6S 8D AH 4H JC TD 8S JH 8C 7S QC 8H 6H,3,5,2,3,8,PASS
JC JS 4H JH 4D KD 9C 4S JD 8D AC TD 9D,2,2,6,3,11,1D
AH AD 4D QD 4C 8H 3D JS 6H QH 2H 5D TS,2,5,5,1,13,1H
KS 6D 4S JS JH 4D 7D QD 2C 9H 3C 2D QH,3,3,5,2,9,PASS
JH 3H 4D 5C KD KH 4H 9H TD 4C 2S 9C 6S,2,5,3,3,7,PASS
8S 3S 9D TC 3D KS AC JS 6H 7D AD 8H QS,5,2,4,2,14,1S
7C QH KC 3D QD 7H 5D JS AH 4D 2H 8C QC,1,4,4,4,14,1D
9C TC AS 7D 5S 9D 2D 5D 7S 6S 3H 8H 7C,4,2,4,3,4,PASS
4D JS KH 5D 8S TD KS JH 9S 4H AD 6S QS,6,3,4,0,14,1S
JS 2C 8D TD KD AC 8H 5C AH 2S AS 9S QS,5,2,3,3,18,1C
QS AS 3C 6S 9C 4H 2H 5D 4C 3H 7S 8H 8D,4,4,2,3,6,PASS
8S KC QS KH TS 4D 5D QD TH 8D 4C TC 6D,3,2,5,3,10,PASS
JC 7S 9D 5D TH 8H 4S 2S 6H 2C 5C AD 4H,3,4,3,3,5,PASS
2D 7H TS TD JC 5D 3S 7S QH JH QS KS 5C,5,3,3,2,9,PASS
5C 2S JS 6H JC TD 4H 8S 7S QD 5H TC 8D,4,3,3,3,4,PASS
8C JS TD 8S 4C 8D JD 2H AS TC AH 9D 3D,3,2,5,3,10,PASS
9D 4H 7S 7H 6S 7D KC QD 9C AD 5C 3C QH,2,3,4,4,11,PASS
6S 4H 2C 3D 3H 4S 3S 5C TS QD 5D JH 2S,5,3,3,2,3,PASS
JS KC JD 4D QC 3C JH QD AS 3D TC JC AH,2,2,4,5,19,1C
2S TS 3S QH 7C QD JD AD JC KC 2C 8C 7H,3,2,3,5,13,1C
6D 7S 2S 2H 9C 9D 5D 7C 6S 8D 3H QS 9H,4,3,4,2,2,PASS
5S KD 7H QC AC 8S 5C 3H QH 4C QD 8H 8D,2,4,3,4,13,1C
TD 6C AD 5C 2D KC TH QC AH 9S 4D JS 8S,3,2,4,4,14,1D
8H 3H 9D QC AC 8D 6S 2D 5C 8S 9S TD 5S,4,2,4,3,6,PASS
2C 4C 4S 7D TC 9S 9H QC 9C 2S 3S QH 7C,4,2,1,6,4,PASS
3S KH JS 7S TH 8H 9H TD 3C 3D 5S 6S AH,5,5,2,1,8,2C
9C 7C 5H 7D 2D 8C 8H 4D 4S 9S AD 2S QC,3,2,4,4,6,PASS
6D 3H 2D 6H 9H 8H QD 5S KH QC QS 8C AS,3,5,3,2,13,1H
AS 9S TC JH 5D KH 8C JC 6S 7H 8H 3C 2H,3,5,1,4,9,PASS
AC JH 4C AH TC 3C AS 5S 7H KH 3H TD 5D,2,5,2,4,16,1H
QC JH 2C 8H 8D TD 3C 8S 4C 9D AH 5S 9C,2,3,3,5,7,PASS
KC TD QD 7S 3S 8C 4H KD 5S AC TH 7D QC,3,2,4,4,14,1D
6H 3S JD 5D 7D 5H QS TD 4C TH 4S 6S 8D,4,3,5,1,3,PASS
9H JS 7C 6S 2S 5S 2H JD QC 5H 8D KS AC,5,3,2,3,11,PASS
5C 2H 2D JS 4D 7D 8H 3S 3C KD QC 9S AS,4,2,4,3,10,PASS
4D TS 6D QH 4S QS 2S KS 8S 9D JS 9C TC,7,1,3,2,8,PASS
4C KC JS 8S TC QD 3D 9S 8H QH 9H 9D 3H,3,4,3,3,8,PASS
7H KS 3S QH 4S 2H JD AD 9D 4D AS 9H 7D,4,4,5,0,14,1D
KD 4S AH 9D QD TS 7D 4H JD QS 2D 5D 4C,3,2,7,1,12,1D
5S 5D 2D JH 9S 9H JS AS TD QS AD 5C JC,5,2,4,2,13,1S
5C TD 9S 3S KH 8D 8S JD 5S KS AC QD 4C,5,1,4,3,13,1S
5C 4C 8H AD KH 4S QD 7C TS 9C AH AS 9D,3,3,3,4,17,1NT
6D TD 2H 9H QD AH 6C QS QC 2D KD 8C JD,1,3,6,3,14,1D
AS 4H AD 6C JC 3C TH TS 6H 3D 9D KH 7C,2,4,3,4,12,1C
8D 8S 4H KS 6S KD 6H JC 2D TH QC TD 2S,4,3,4,2,9,PASS
JH QC 7C 5H KC TS 6H TD TH 3H JS 8D KD,2,5,3,3,10,PASS
QH 7C JH QC 8S 7S JC 5H 9S 4S TS 3C 8H,5,4,0,4,6,2C
TD 6S KC 7C TH 3D 9D 8C JD 3H 6C 2S 3S,3,2,4,4,4,PASS
6C TS QC AH 3C 7H JC AD 2S AS 9S 5C 5H,4,3,1,5,15,1C
JS 3C TH 4H 8C 6D 9S JC KD 7H 7C AH 6C,2,4,2,5,9,PASS
4D 9S 2C 2D 7D 7S 6H 2H AS 7H KS 4S TH,5,4,3,1,7,2C
5S 6S 3H JD 9H 8C QD JH 5D 9C 7S KD 8D,3,3,5,2,7,PASS
5H 4H 5S 2D 3S 2H JH 5C QH TH 5D 8H 4C,2,7,2,2,3,PASS
TC 4C 4D QD 7D AC 2H 6D QH 7C 3C KC KS,1,2,4,6,14,1D
JS AS 6S 4H 2C 7H 5D 8C 3C 7D 5C 6D AH,3,3,3,4,9,PASS
8D 6C AS 4H TH 8C 2H 6D 5C TD TC 7H TS,2,4,3,4,4,PASS
7H JD 7D QD 2S 8H 3S KC KD 2H 9S TH TC,3,4,4,2,9,PASS
5S 6S 6H 2C 5H 5C 6D TH 8H 3S QC 4S 7S,5,4,1,3,2,PASS
AS QD TH 7D 8S KC 7H QS KH JD 3S 8D AC,4,3,4,2,19,1C
2S 6S 9C 7S 3D 4H 8S 3H TD 6C 4D KH 3S,5,3,3,2,3,PASS
5D 9S QD 5C 6H 6D 4D 9D 2D 3S TC TS 2S,4,1,6,2,2,PASS
AH TH 6S 4H 5C JD QD JS QC AC 4D AS 9H,3,4,3,3,18,1C
3H 7C TS 2D 8C 7D AS KD 6H 3S AC AH 5C,3,3,3,4,15,1NT
KH 9C 4C 3D KS AS AD 5D QH 4S TS QS 3H,5,3,3,2,18,1C
QH 5H 6S AD 4D 9H QS TD 3C 8S 5D TH 3H,3,5,4,1,8,PASS
5S JS JD 9S QD 8H 5H 9D 3H KC 6D 7H 8S,4,4,4,1,7,PASS
JS 5H TS KD 3S KC AH TH KH 6S 9S TC JH,5,5,1,2,15,1S
9H TS 4C 9S KS QS 2C 3H 4H QC 6D 3S 8C,5,3,1,4,7,PASS
3H TD 5H 6C 7S KD 8S QC 2C 3S 8D 4C 2S,4,2,3,4,5,PASS
JH 4H 2D TS 4D KC 8D 5H 3D 8C QD AS 6H,2,4,5,2,10,PASS
QC 5H 7C 9S TS QH 6D 2C 3H 5S AC 3C 4H,3,4,1,5,8,PASS
JC AS 4D QH KH 6S 8D 9D TC QD 3S 8C 8S,4,2,4,3,12,1D
QC 3S TD 2D 7H KS 8C 6H 6S QH TS 3D 7S,5,3,3,2,7,PASS
8C 7D TD KD 6S KC 6D 2C 9H KH KS QD 4D,2,2,6,3,14,1D
KC 9C 6H 3C 2C TD 8S 7S JC TH 6C 3D KS,3,2,2,6,7,PASS
6H JD KD 2S 6C 4H 2H 6S 3C 7D QD TC 7H,2,4,4,3,6,PASS
8D 4H 6S 4C QS JH AH 4D AS JD QH 6H 2C,3,5,3,2,14,1H
